TREE_COLORS								
SEPARATOR TAB								
COLOR	#a6cee3							
DATASET_LABEL	Taxonomy							
LEGEND_COLORS	#EEE685	#4F94CD	#EE7600	#00CD00	#43CD80	#90EE90	#919191
LEGEND_LABELS	Actinobacteria	Bacteroidetes	Firmicutes	Alphaproteobacteria	Betaproteobacteria	Gammaproteobacteria	Others
LEGEND_SHAPES	1	1	1	1	1	1	1	1
LEGEND_TITLE	Taxonomy							
DATA								
HQB-462	range	#00CD00	Alphaproteobacteria					
HQB-463	range	#919191	Others					
HQB-464	range	#EEE685	Actinobacteria					
HQB-465	range	#EEE685	Actinobacteria					
HQB-466	range	#00CD00	Alphaproteobacteria					
HQB-467	range	#EEE685	Actinobacteria					
HQB-468	range	#90EE90	Gammaproteobacteria					
HQB-469	range	#90EE90	Gammaproteobacteria					
HQB-470	range	#90EE90	Gammaproteobacteria					
HQB-471	range	#90EE90	Gammaproteobacteria					
HQB-472	range	#EE7600	Firmicutes					
HQB-473	range	#90EE90	Gammaproteobacteria					
HQB-474	range	#90EE90	Gammaproteobacteria					
HQB-475	range	#EE7600	Firmicutes					
HQB-476	range	#90EE90	Gammaproteobacteria					
HQB-477	range	#90EE90	Gammaproteobacteria					
HQB-478	range	#90EE90	Gammaproteobacteria					
HQB-479	range	#90EE90	Gammaproteobacteria					
HQB-480	range	#90EE90	Gammaproteobacteria					
HQB-481	range	#90EE90	Gammaproteobacteria					
HQB-483	range	#90EE90	Gammaproteobacteria					
HQB-484	range	#EE7600	Firmicutes					
HQB-485	range	#90EE90	Gammaproteobacteria					
HQB-486	range	#90EE90	Gammaproteobacteria					
HQB-487	range	#90EE90	Gammaproteobacteria					
HQB-488	range	#43CD80	Betaproteobacteria					
HQB-489	range	#90EE90	Gammaproteobacteria					
HQB-490	range	#90EE90	Gammaproteobacteria					
HQB-491	range	#90EE90	Gammaproteobacteria					
HQB-492	range	#90EE90	Gammaproteobacteria					
HQB-493	range	#90EE90	Gammaproteobacteria					
HQB-494	range	#90EE90	Gammaproteobacteria					
HQB-495	range	#EE7600	Firmicutes					
HQB-496	range	#90EE90	Gammaproteobacteria					
HQB-497	range	#EE7600	Firmicutes					
HQB-498	range	#EEE685	Actinobacteria					
HQB-499	range	#90EE90	Gammaproteobacteria					
HQB-500	range	#43CD80	Betaproteobacteria					
HQB-501	range	#90EE90	Gammaproteobacteria					
HQB-502	range	#90EE90	Gammaproteobacteria					
HQB-503	range	#90EE90	Gammaproteobacteria					
HQB-504	range	#90EE90	Gammaproteobacteria					
HQB-505	range	#90EE90	Gammaproteobacteria					
HQB-506	range	#90EE90	Gammaproteobacteria					
HQB-507	range	#90EE90	Gammaproteobacteria					
HQB-508	range	#90EE90	Gammaproteobacteria					
HQB-509	range	#90EE90	Gammaproteobacteria					
HQB-510	range	#43CD80	Betaproteobacteria					
HQB-511	range	#90EE90	Gammaproteobacteria					
HQB-512	range	#90EE90	Gammaproteobacteria					
HQB-513	range	#EE7600	Firmicutes					
HQB-514	range	#90EE90	Gammaproteobacteria					
HQB-515	range	#EE7600	Firmicutes					
HQB-516	range	#EE7600	Firmicutes					
HQB-517	range	#90EE90	Gammaproteobacteria					
HQB-519	range	#4F94CD	Bacteroidetes					
HQB-520	range	#4F94CD	Bacteroidetes					
HQB-521	range	#00CD00	Alphaproteobacteria					
HQB-522	range	#4F94CD	Bacteroidetes					
HQB-523	range	#90EE90	Gammaproteobacteria					
HQB-524	range	#43CD80	Betaproteobacteria					
HQB-525	range	#43CD80	Betaproteobacteria					
HQB-526	range	#EEE685	Actinobacteria					
HQB-527	range	#43CD80	Betaproteobacteria					
HQB-528	range	#EEE685	Actinobacteria					
HQB-529	range	#90EE90	Gammaproteobacteria					
HQB-530	range	#EE7600	Firmicutes					
HQB-531	range	#EE7600	Firmicutes					
HQB-532	range	#90EE90	Gammaproteobacteria					
HQB-533	range	#90EE90	Gammaproteobacteria					
HQB-534	range	#00CD00	Alphaproteobacteria					
HQB-535	range	#00CD00	Alphaproteobacteria					
HQB-536	range	#90EE90	Gammaproteobacteria					
HQB-537	range	#43CD80	Betaproteobacteria					
HQB-538	range	#43CD80	Betaproteobacteria					
HQB-539	range	#00CD00	Alphaproteobacteria					
HQB-540	range	#43CD80	Betaproteobacteria					
HQB-541	range	#EE7600	Firmicutes					
HQB-542	range	#EE7600	Firmicutes					
HQB-543	range	#90EE90	Gammaproteobacteria					
HQB-544	range	#EE7600	Firmicutes					
HQB-545	range	#90EE90	Gammaproteobacteria					
HQB-546	range	#90EE90	Gammaproteobacteria					
HQB-547	range	#90EE90	Gammaproteobacteria					
